discounted_price,actual_price,discount_percentage,rating,rating_count,category_median_price,brand_avg_price,brand_product_count,manufacturing_cost,quality_tier,price_to_cost_ratio,price_to_category_median_ratio,price_to_brand_avg_ratio,complexity_score,technology_level,feature_count,value_score,brand_strength,premium_index,price_elasticity,estimated_units_sold,seasonal_relevance,is_new_release,rating_x_count,category_Audio,category_Cameras,category_Climate Control,category_Computers,category_Home Entertainment,category_Home Improvement,category_Home Office,category_Kitchen Appliances,category_Mobile Accessories,category_Smartwatches,brand_tier_mid-range,price_segment_budget,price_segment_mid-range,price_segment_premium,product_type_input_device
0.05541750170106818,0.0024509783994825247,47.8,0.0,0.0,449.0,41850.0,2,10249.5,1.0,2.0,45.65478841870824,0.4898207885304659,0.5,1.0,8.0,0.0,0.0,0.10247986755118622,0.4184100418410042,0.0,0.2,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
0.18921314745855722,0.005453616120284621,19.8,0.9,4.795783547105385e-06,449.0,68990.0,3,34995.0,1.0,2.0,155.87973273942094,1.014494854326714,0.5,1.0,8.0,6.595880963363479e-05,3.119162312519754,0.34995282650190934,1.0,60.0,0.2,0.0,9.0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
0.17569597809872525,0.004998830202062659,18.8,0.6799999999999999,5.2753619018159236e-05,449.0,68990.0,3,32495.0,1.0,2.0,144.74387527839644,0.942020582693144,0.5,1.0,8.0,5.366963838292251e-05,10.509544341418277,0.32495101213659816,1.0,660.0,0.2,0.0,74.8,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
0.19462001520249003,0.005681009079395603,20.8,0.7,3.596837660329039e-05,449.0,68990.0,3,35995.0,1.0,2.0,160.33407572383072,1.043484562980142,0.5,1.0,8.0,4.987606242195118e-05,9.478175703857737,0.35995355224803377,0.9615384615384616,450.0,0.2,0.0,52.5,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
0.0006188971163092678,7.754875393223778e-05,82.4,0.86,0.002153306812650318,449.0,221.5,4,114.5,1.0,2.0,0.5100222717149221,1.0338600451467268,0.5,1.0,8.0,0.019263236750033916,29.240731293699454,0.0011225121142146913,0.2427184466019417,26940.0,0.2,0.0,3861.4,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
0.002565369504125075,0.00011507234454461089,50.0,0.82,0.0034961262058398257,449.0,635.6666666666666,6,474.5,1.0,2.0,2.11358574610245,1.4929208180388045,0.5,1.0,8.0,0.004432144726298636,29.867765741531272,0.004722773382819501,0.4,43740.0,0.2,0.0,5977.799999999999,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
0.17569597809872525,0.005248987472811813,22.6,0.78,0.0011893543196821355,449.0,106990.0,9,32495.0,1.0,2.0,144.74387527839644,0.6074399476586597,0.5,1.0,8.0,6.156223226276336e-05,24.205646114227218,0.32495101213659816,0.8849557522123893,14880.0,0.2,0.0,1934.4,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
0.0002674507129536359,5.8786958626051216e-05,90.1,0.8400000000000001,0.004992410672536706,449.0,99.0,1,49.5,1.0,2.0,0.220489977728285,1.0,0.5,1.0,8.0,0.043522154348561486,32.09255384653464,0.0004724649407166001,0.2219755826859045,62460.0,0.2,0.0,8744.4,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
0.0008892405035059077,4.0025163319864655e-05,52.9,0.8800000000000001,0.0015466401939414867,449.0,329.0,2,164.5,1.0,2.0,0.732739420935412,1.0,0.5,1.0,8.0,0.01371996702434027,28.4647013939014,0.0016225484015209145,0.3780718336483932,19350.0,0.2,0.0,2838.0000000000005,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
0.0008081374873469158,4.0025163319864655e-05,57.2,0.8800000000000001,0.0045679838286178795,449.0,389.0,5,149.5,1.0,2.0,0.6659242761692651,0.7686375321336761,0.5,1.0,8.0,0.015096552344508187,33.22984406526753,0.0014725375153290476,0.3496503496503496,57150.0,0.2,0.0,8382.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
0.0012136525681418755,0.00012132627631333975,77.5,0.0,0.0,449.0,449.0,1,224.5,1.0,2.0,1.0,1.0,0.5,1.0,8.0,0.0,0.0,0.002222591946288383,0.2580645161290322,0.0,0.2,0.0,0.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
0.0063501769248780334,0.00018386559400062827,21.7,0.74,0.030817705073699204,449.0,4382.333333333333,3,1174.5,1.0,2.0,5.23162583518931,0.5360158210998708,0.5,1.0,8.0,0.0016159019175209371,35.00664246487227,0.011723281405106633,0.9216589861751152,385560.0,0.2,0.0,47552.4,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
0.0005377941001502758,5.8786958626051216e-05,80.1,0.8400000000000001,0.0018607640162768893,449.0,221.5,4,99.5,1.0,2.0,0.443207126948775,0.8984198645598194,0.5,1.0,8.0,0.021651725027676316,27.94744058476952,0.0009725012280228239,0.2496878901373283,23280.0,0.2,0.0,3259.2000000000003,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True
0.0008081374873469158,5.8786958626051216e-05,70.1,0.8800000000000001,0.00796100068819494,449.0,229.5,2,149.5,1.0,2.0,0.6659242761692651,1.3028322440087146,0.5,1.0,8.0,0.015096552344508187,35.67396827240636,0.0014725375153290476,0.2853067047075606,99600.0,0.2,0.0,14608.000000000002,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
